accident_id,accident_datetime,city,road_type,weather,severity,duration_minutes,is_night,vehicles_involved
ACC-000000,2024-07-17 02:00:00,Hanoi,Intersection,Fog,Minor,19.7,1,1
ACC-000001,2025-08-10 22:00:00,Ho Chi Minh City,Intersection,Clear,Minor,22.8,1,3
ACC-000002,2025-07-23 18:00:00,Ho Chi Minh City,Residential,Clear,Moderate,35.9,0,4
ACC-000003,2025-08-07 08:00:00,Hai Phong,Residential,Clear,Minor,18.6,0,4
ACC-000004,2023-12-12 01:00:00,Hanoi,Residential,Clear,Severe,68.0,1,3
ACC-000005,2024-03-10 00:00:00,Ho Chi Minh City,Urban Street,Rain,Minor,20.8,1,4
ACC-000006,2023-12-13 02:00:00,Da Nang,Residential,Clear,Severe,54.0,1,1
ACC-000007,2023-04-03 07:00:00,Hanoi,Intersection,Rain,Minor,19.9,0,1
ACC-000008,2025-03-02 19:00:00,Da Nang,Residential,Clear,Moderate,59.7,0,4
ACC-000009,2024-01-08 01:00:00,Hai Phong,Bridge,Fog,Minor,22.8,1,2
ACC-000010,2024-12-26 06:00:00,Ho Chi Minh City,Residential,Clear,Moderate,40.9,0,2
ACC-000011,2025-05-07 01:00:00,Can Tho,Urban Street,Clear,Moderate,66.3,1,3
ACC-000012,2024-12-05 19:00:00,Da Nang,Highway,Clear,Moderate,49.2,0,1
ACC-000013,2023-01-10 19:00:00,Hanoi,Intersection,Clear,Minor,28.0,0,4
ACC-000014,2024-11-18 01:00:00,Hanoi,Highway,Clear,Moderate,33.9,1,2
ACC-000015,2025-02-15 00:00:00,Da Nang,Highway,Rain,Minor,20.1,1,2
ACC-000016,2023-05-25 07:00:00,Hanoi,Highway,Clear,Fatal,176.1,0,1
ACC-000017,2025-01-22 18:00:00,Da Nang,Intersection,Clear,Minor,17.1,0,1
ACC-000018,2025-11-21 18:00:00,Hanoi,Highway,Clear,Minor,21.4,0,4
ACC-000019,2024-04-17 13:00:00,Da Nang,Highway,Rain,Minor,32.8,0,1
ACC-000020,2024-11-12 07:00:00,Ho Chi Minh City,Intersection,Clear,Minor,11.0,0,3
ACC-000021,2023-04-15 01:00:00,Hanoi,Intersection,Rain,Moderate,49.2,1,1
ACC-000022,2023-10-09 22:00:00,Da Nang,Residential,Rain,Minor,22.3,1,2
ACC-000023,2025-09-21 21:00:00,Ho Chi Minh City,Highway,Clear,Moderate,37.4,0,4
ACC-000024,2023-11-20 16:00:00,Hai Phong,Intersection,Fog,Minor,20.1,0,2
ACC-000025,2025-01-17 08:00:00,Ho Chi Minh City,Urban Street,Fog,Minor,26.0,0,2
ACC-000026,2023-07-14 10:00:00,Hanoi,Residential,Fog,Minor,19.2,0,3
ACC-000027,2023-06-27 01:00:00,Hanoi,Bridge,Clear,Minor,25.8,1,4
ACC-000028,2025-10-15 04:00:00,Ho Chi Minh City,Urban Street,Fog,Moderate,31.1,1,2
ACC-000029,2024-10-27 10:00:00,Hanoi,Residential,Clear,Minor,26.6,0,1
ACC-000030,2025-03-11 00:00:00,Hai Phong,Bridge,Clear,Minor,14.8,1,3
ACC-000031,2023-12-10 20:00:00,Can Tho,Urban Street,Clear,Moderate,68.3,0,4
ACC-000032,2025-08-03 02:00:00,Da Nang,Urban Street,Fog,Minor,32.1,1,4
ACC-000033,2025-11-27 22:00:00,Da Nang,Highway,Clear,Minor,16.6,1,3
ACC-000034,2023-04-19 18:00:00,Ho Chi Minh City,Highway,Storm,Minor,13.0,0,2
ACC-000035,2025-12-14 02:00:00,Ho Chi Minh City,Intersection,Clear,Minor,20.3,1,1
ACC-000036,2025-05-16 00:00:00,Ho Chi Minh City,Intersection,Fog,Severe,70.9,1,4
ACC-000037,2024-07-11 13:00:00,Ho Chi Minh City,Intersection,Rain,Minor,21.7,0,1
