accident_id,duration_minutes,vehicles_involved,full_datetime,year,month,hour,day_of_week,is_night,is_weekend,city,road_type,severity,weather
ACC-000000,19.7,1,2024-07-17 02:00:00,2024,7,2,Wednesday,1,0,Hanoi,Intersection,Minor,Fog
ACC-000001,22.8,3,2025-08-10 22:00:00,2025,8,22,Sunday,1,1,Ho Chi Minh City,Intersection,Minor,Clear
ACC-000002,35.9,4,2025-07-23 18:00:00,2025,7,18,Wednesday,0,0,Ho Chi Minh City,Residential,Moderate,Clear
ACC-009701,29.1,2,2025-07-23 18:00:00,2025,7,18,Wednesday,0,0,Nha Trang,Intersection,Minor,Clear
ACC-000003,18.6,4,2025-08-07 08:00:00,2025,8,8,Thursday,0,0,Hai Phong,Residential,Minor,Clear
ACC-000004,68.0,3,2023-12-12 01:00:00,2023,12,1,Tuesday,1,0,Hanoi,Residential,Severe,Clear
ACC-006830,44.3,2,2023-12-12 01:00:00,2023,12,1,Tuesday,1,0,Nha Trang,Residential,Moderate,Clear
ACC-000005,20.8,4,2024-03-10 00:00:00,2024,3,0,Sunday,1,1,Ho Chi Minh City,Urban Street,Minor,Rain
ACC-012745,22.0,2,2024-03-10 00:00:00,2024,3,0,Sunday,1,1,Can Tho,Intersection,Minor,Storm
ACC-000006,54.0,1,2023-12-13 02:00:00,2023,12,2,Wednesday,1,0,Da Nang,Residential,Severe,Clear
ACC-025801,192.4,1,2023-12-13 02:00:00,2023,12,2,Wednesday,1,0,Ho Chi Minh City,Highway,Fatal,Clear
ACC-000007,19.9,1,2023-04-03 07:00:00,2023,4,7,Monday,0,0,Hanoi,Intersection,Minor,Rain
ACC-000008,59.7,4,2025-03-02 19:00:00,2025,3,19,Sunday,0,1,Da Nang,Residential,Moderate,Clear
ACC-009288,36.4,4,2025-03-02 19:00:00,2025,3,19,Sunday,0,1,Nha Trang,Highway,Moderate,Clear
ACC-025333,15.2,4,2025-03-02 19:00:00,2025,3,19,Sunday,0,1,Ho Chi Minh City,Bridge,Minor,Rain
ACC-000009,22.8,2,2024-01-08 01:00:00,2024,1,1,Monday,1,0,Hai Phong,Bridge,Minor,Fog
ACC-019500,77.1,3,2024-01-08 01:00:00,2024,1,1,Monday,1,0,Ho Chi Minh City,Highway,Severe,Clear
